id,network,year,net_role,so_part_mc_5,so_part_mc_6,so_part_mc_7,so_part_msi_1,so_part_msi_2,so_part_msi_3,so_part_t,so_part_expec,so_part_ben_1,so_part_ben_2,so_part_ben_3,so_part_ben_4,so_part_ben_6,so_part_ben_8,so_part_chal_72021,so_part_chal_82021,so_part_chal_92021,so_part_chal_102021,so_part_chal_112021,cult_ci_72020,nl_netops_gov_3,cult_sn_52020,diff_for_students,splc_7,so_part_value_1,so_part_value_2,so_part_value_3,so_part_value_8,cont_imp_for_equity_1,cont_imp_for_equity_2,cont_imp_for_equity_6,cont_imp_for_equity_4,cont_imp_for_equity_5,cont_imp_for_equity_7,cont_imp_for_equity_8,is_conf_52021,is_conf_32021,is_conf_42021,is_conf_12021,is_conf_62021,part_team_meetings_1,part_team_meetings_2,part_team_meet_32021,part_team_meetings_4,part_team_meetings_5,part_team_meetings_6,part_team_meetings_7,equity_dis_1,equity_dis_2,equity_dis_3,cult_eq_1,cult_eq_2,cult_eq_3,cult_eq_4,cult_eq_5,cult_eq_6,cult_eq_7,cult_eq_8,splc_1,splc_4,nl_netops_km_1,nl_netops_km_2,nl_netops_km_3,nl_netops_km_4,nl_netops_km_5
cardinal_02,cardinal,2021,2,5,4,4,3,3,3,,3,4,4,4,4,4,4,3,2,9,2,9,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,2,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
cardinal_04,cardinal,2021,3,5,5,5,4,4,4,,4,3,4,4,5,5,4,4,3,3,2,1,4,4,4,4,1,4,3,4,1,4,4,4,4,5,4,5,3,4,2,1,5,1,5,4,3,5,5,5,4,3,3,4,4,4,4,4,4,5,5,2,2,4,2,2,4,3
cardinal_07,cardinal,2021,4,5,5,5,3,3,4,,3,3,5,2,3,4,4,3,2,3,3,3,2,3,3,4,4,5,4,4,1,4,4,4,4,4,4,4,2,5,2,4,4,1,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,3,3,4,4,4,4,4
cardinal_08,cardinal,2021,3,4,4,4,3,3,4,,4,3,3,4,4,3,4,5,4,2,3,1,2,2,2,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,3,1,5,4,4,3,3,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
cardinal_09,cardinal,2021,4,5,5,5,5,4,5,,3,3,5,5,5,5,5,2,1,2,2,1,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,5,4,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cardinal_101,cardinal,2021,2,4,4,4,3,3,2,,5,4,3,3,3,4,3,2,3,2,3,2,5,4,3,3,5,4,3,3,2,1,3,3,2,1,2,2,4,1,3,4,4,2,,,,,,,,,,4,4,4,3,3,3,3,2,3,3,2,3,2,2,2
cardinal_103,cardinal,2021,4,5,5,5,4,4,4,,1,1,3,2,3,4,4,4,3,4,4,3,1,2,1,3,3,3,3,1,1,4,4,3,4,3,3,1,3,3,3,3,5,1,4,2,1,1,2,2,2,2,2,4,4,4,4,4,3,3,3,2,2,4,4,4,4,4
cardinal_104,cardinal,2021,4,5,5,5,3,5,5,,2,3,4,4,5,5,4,5,4,1,1,1,2,4,4,4,4,5,5,5,5,4,4,4,5,4,4,5,5,5,9,5,5,1,5,4,4,4,4,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cardinal_105,cardinal,2021,1,5,4,5,2,4,4,,5,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,4,2,3,4,5,4,3,5,4,5,4,5,,,,,,,,,,,2,2,2,2,2,4,3,3,5,5,,,,,
cardinal_106,cardinal,2021,3,4,5,3,2,3,5,,5,2,4,3,3,4,4,4,4,2,2,2,1,3,4,4,3,2,2,2,2,3,4,5,3,3,4,4,1,2,1,5,5,1,5,4,5,5,5,3,2,1,2,5,5,5,3,3,4,3,3,4,4,5,5,2,4,5
cardinal_107,cardinal,2021,1,4,4,4,3,3,3,,4,,,,,,,,,,,,5,4,3,5,4,5,5,5,5,4,2,5,4,4,4,5,4,4,5,5,9,,,,,,,,,,,4,3,5,5,4,4,4,4,5,5,,,,,
cardinal_108,cardinal,2021,4,4,4,4,2,4,4,,1,3,4,4,4,4,4,3,1,2,2,1,2,4,4,4,4,4,4,4,1,2,4,3,4,4,4,4,9,9,9,3,5,1,3,4,3,3,3,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
cardinal_109,cardinal,2021,3,2,1,2,2,2,2,,4,3,4,4,4,5,4,3,1,3,3,3,4,5,5,5,5,5,5,4,3,4,4,4,4,4,4,4,5,5,5,5,5,1,5,4,2,3,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
cardinal_111,cardinal,2021,4,4,4,4,3,1,3,,3,3,2,1,2,3,2,4,2,1,3,1,1,2,3,3,3,3,3,3,2,1,3,3,2,3,3,3,3,3,3,4,4,1,4,4,5,4,3,3,2,2,2,3,3,3,3,4,5,3,3,1,3,4,2,1,2,1
